customer_id,snapshot_date,age,employment_type,monthly_income,avg_monthly_spend,spend_volatility,salary_drop_pct,emi_amount,emi_to_income_ratio,credit_limit,credit_utilization,utilization_trend_slope,missed_payments_6m,late_payment_count_6m,days_since_last_payment,num_credit_accounts,recent_inquiries_3m,macro_stress_index,target_pre_delinquent
113357,2024-01-01 00:00:00,31,salaried,84271.81,52056.27,0.462,0.063,22834.66,0.271,284511.71,0.434,-0.005,1,0,8,5,0.0,0.347,0
105161,2024-01-01 01:00:00,44,salaried,125821.88,107846.11,0.835,0.014,35511.26,0.282,210465.47,0.258,0.084,0,1,31,2,0.0,0.361,0
101496,2024-01-01 01:00:00,50,salaried,73643.91,54160.43,0.155,-0.017,16159.06,0.219,163762.2,0.379,0.039,1,1,13,7,1.0,0.257,1
101414,2024-01-01 01:00:00,60,self_employed,35059.4,13960.47,0.714,-0.166,6026.02,0.172,223584.07,0.299,-0.07,0,0,22,3,1.0,0.614,1
107398,2024-01-01 02:00:00,28,salaried,35348.66,18773.35,0.466,-0.118,2757.31,0.078,284801.17,0.19,0.031,1,0,10,2,1.0,0.602,0
103537,2024-01-01 02:00:00,55,self_employed,15000.0,10247.75,0.719,-0.006,2457.33,0.164,233457.9,0.427,0.031,0,0,9,5,0.0,0.761,0
111930,2024-01-01 04:00:00,33,self_employed,93335.28,69163.66,0.482,0.056,23340.38,0.25,156227.97,0.157,0.018,0,0,3,8,1.0,0.622,0
100337,2024-01-01 04:00:00,39,self_employed,39659.28,25999.81,0.473,0.043,11575.42,0.292,295230.81,0.083,0.155,0,0,5,5,0.0,0.346,0
105504,2024-01-01 04:00:00,54,contract,74819.11,40801.71,0.181,0.006,23361.96,0.312,365077.27,0.226,0.007,0,2,1,1,0.0,0.505,0
100768,2024-01-01 05:00:00,57,salaried,31327.36,25655.4,0.407,0.052,3568.31,0.114,280542.15,0.372,-0.033,2,2,15,5,0.0,0.493,1
112026,2024-01-01 05:00:00,23,contract,49607.98,24295.18,0.31,-0.004,15763.51,0.318,269205.69,0.464,0.075,0,1,0,6,2.0,0.646,1
111170,2024-01-01 05:00:00,57,salaried,120814.41,48408.62,0.333,-0.193,14593.95,0.121,338635.0,0.131,-0.132,0,0,16,2,0.0,0.331,0
102555,2024-01-01 06:00:00,49,salaried,69687.14,52286.66,0.175,0.274,12491.56,0.179,193546.16,0.321,-0.005,0,0,8,3,0.0,0.614,0
102236,2024-01-01 07:00:00,29,salaried,67542.74,60016.86,0.348,0.105,10605.16,0.157,380862.87,0.248,-0.179,0,1,4,4,2.0,0.561,0
108584,2024-01-01 07:00:00,49,salaried,42267.05,30619.99,0.586,-0.087,4355.08,0.103,255925.02,0.438,0.075,0,0,41,8,0.0,0.803,0
111497,2024-01-01 08:00:00,41,salaried,80567.05,51064.8,0.497,0.13,7002.95,0.087,416418.4,0.518,-0.023,1,1,31,2,0.0,0.504,1
101683,2024-01-01 09:00:00,39,self_employed,91423.95,57928.57,0.199,-0.103,14246.81,0.156,256665.67,0.597,0.109,1,0,29,3,0.0,0.577,0
100791,2024-01-01 09:00:00,57,contract,87743.02,48964.46,0.36,0.013,20226.08,0.231,131900.0,0.193,0.165,0,0,23,1,0.0,0.412,0
100579,2024-01-01 09:00:00,52,salaried,72294.43,53566.72,0.352,0.035,3699.34,0.051,224846.7,0.074,-0.016,1,1,70,8,0.0,0.492,0
107596,2024-01-01 10:00:00,24,salaried,83018.16,72714.45,0.35,-0.078,5120.5,0.062,238919.84,0.303,-0.171,0,0,1,2,1.0,0.698,0
104353,2024-01-01 11:00:00,54,salaried,66644.95,46185.72,0.214,0.012,19723.88,0.296,296041.0,0.281,0.117,0,3,42,6,1.0,0.464,0
108646,2024-01-01 11:00:00,35,self_employed,60875.29,46167.78,0.434,0.12,11859.9,0.195,212721.15,0.053,-0.017,0,0,13,4,0.0,0.537,0
101635,2024-01-01 11:00:00,50,salaried,64181.63,54644.42,0.485,0.011,6152.44,0.096,381472.0,0.28,0.02,1,1,34,2,1.0,0.758,0
111345,2024-01-01 11:00:00,41,self_employed,52675.61,36129.47,0.534,-0.113,12925.42,0.245,123640.88,0.216,-0.036,0,0,27,5,0.0,0.488,0
109111,2024-01-01 11:00:00,27,self_employed,59451.66,31876.91,0.577,-0.016,3849.53,0.065,456292.44,0.267,0.026,0,1,2,5,0.0,0.673,0
106450,2024-01-01 12:00:00,57,salaried,91764.38,68519.74,0.281,0.065,23245.94,0.253,170848.19,0.186,0.029,0,0,37,7,0.0,0.271,0
107519,2024-01-01 12:00:00,35,salaried,100910.68,58968.65,0.479,-0.045,12556.47,0.124,140328.56,0.313,0.09,0,0,4,7,0.0,0.535,0
